date,value
2020-09-18,3283.69
2020-09-21,3160.95
2020-09-22,3164.13
2020-09-23,3180.11
2020-09-24,3159.64
2020-09-25,3137.06
2020-09-28,3223.19
2020-09-29,3214.3
2020-09-30,3193.61
2020-10-01,3194.09
2020-10-02,3190.93
2020-10-05,3220.22
2020-10-06,3233.3
2020-10-07,3233.43
2020-10-08,3255.76
2020-10-09,3273.12
2020-10-12,3298.12
2020-10-13,3279.19
2020-10-14,3273.28
2020-10-15,3192.69
2020-10-16,3245.47
2020-10-19,3242.51
2020-10-20,3227.87
2020-10-21,3180.7
2020-10-22,3171.41
2020-10-23,3198.86
2020-10-26,3105.25
2020-10-27,3070.6
2020-10-28,2963.54
2020-10-29,2960.03
2020-10-30,2958.21
2020-11-02,3019.54
2020-11-03,3098.72
2020-11-04,3161.07
2020-11-05,3215.56
2020-11-06,3204.05
2020-11-09,3407.91
2020-11-10,3442.62
2020-11-11,3467.3
2020-11-12,3428.2
2020-11-13,3432.07
2020-11-16,3466.21
2020-11-17,3468.48
2020-11-18,3482.17
2020-11-19,3451.97
2020-11-20,3467.6
2020-11-23,3463.04
2020-11-24,3507.98
2020-11-25,3511.9
2020-11-26,3510.94
2020-11-27,3527.79
2020-11-30,3492.54
2020-12-01,3525.24
2020-12-02,3521.32
2020-12-03,3517.1
2020-12-04,3539.27
2020-12-07,3530.08
2020-12-08,3525.87
2020-12-09,3529.02
2020-12-10,3522.31
2020-12-11,3485.84
2020-12-14,3503.96
2020-12-15,3521.5
2020-12-16,3543.0
2020-12-17,3560.87
2020-12-18,3545.74
2020-12-21,3448.68
2020-12-22,3497.49
2020-12-23,3539.26
2020-12-24,3543.28
2020-12-28,3575.41
2020-12-29,3581.37
2020-12-30,3571.59
2020-12-31,3552.64
2021-01-04,3564.39
2021-01-05,3547.85
2021-01-06,3611.08
2021-01-07,3622.42
2021-01-08,3645.05
2021-01-11,3620.62
2021-01-12,3612.13
2021-01-13,3616.51
2021-01-14,3641.37
2021-01-15,3599.55
2021-01-18,3602.67
2021-01-19,3595.42
2021-01-20,3624.04
2021-01-21,3618.35
2021-01-22,3602.41
2021-01-25,3553.14
2021-01-26,3592.83
2021-01-27,3536.38
2021-01-28,3557.04
2021-01-29,3481.44
2021-02-01,3530.85
2021-02-02,3590.46
2021-02-03,3609.75
2021-02-04,3642.12
2021-02-05,3655.77
2021-02-08,3665.51
2021-02-09,3661.13
2021-02-10,3648.37
2021-02-11,3671.68
2021-02-12,3695.61
2021-02-15,3734.2
2021-02-16,3726.4
2021-02-17,3699.85
2021-02-18,3681.04
2021-02-19,3713.46
2021-02-22,3699.85
2021-02-23,3689.1
2021-02-24,3705.99
2021-02-25,3685.28
2021-02-26,3636.44
2021-03-01,3706.62
2021-03-02,3707.72
2021-03-03,3712.78
2021-03-04,3704.85
2021-03-05,3669.54
2021-03-08,3763.24
2021-03-09,3786.05
2021-03-10,3819.92
2021-03-11,3845.64
2021-03-12,3833.36
2021-03-15,3829.84
2021-03-16,3850.96
2021-03-17,3849.74
2021-03-18,3867.54
2021-03-19,3837.02
2021-03-22,3833.84
2021-03-23,3827.02
2021-03-24,3832.55
