Date,Adj Close
7/24/2015,25128.51
7/27/2015,24351.96
7/28/2015,24503.94
7/29/2015,24619.45
7/30/2015,24497.98
7/31/2015,24636.28
8/3/2015,24411.42
8/4/2015,24406.12
8/5/2015,24514.16
8/6/2015,24375.28
8/7/2015,24552.47
8/10/2015,24521.12
8/11/2015,24498.21
8/12/2015,23916.02
8/13/2015,24018.80
8/14/2015,23991.03
8/17/2015,23814.65
8/18/2015,23474.97
8/19/2015,23167.85
8/20/2015,22757.47
8/21/2015,22409.62
8/24/2015,21251.57
8/25/2015,21404.96
8/26/2015,21080.39
8/27/2015,21838.54
8/28/2015,21612.39
8/31/2015,21670.58
9/1/2015,21185.43
9/2/2015,20934.94
9/4/2015,20840.61
9/7/2015,20583.52
9/8/2015,21259.04
9/9/2015,22131.31
9/10/2015,21562.50
9/11/2015,21504.37
9/14/2015,21561.90
9/15/2015,21455.23
9/16/2015,21966.66
9/17/2015,21854.63
9/18/2015,21920.83
9/21/2015,21756.93
9/22/2015,21796.58
9/23/2015,21302.91
9/24/2015,21095.98
9/25/2015,21186.32
9/29/2015,20556.60
9/30/2015,20846.30
10/2/2015,21506.09
10/5/2015,21854.50
10/6/2015,21831.62
10/7/2015,22515.76
10/8/2015,22354.91
10/9/2015,22458.80
10/12/2015,22730.93
10/13/2015,22600.46
10/14/2015,22439.91
10/15/2015,22888.17
10/16/2015,23067.37
10/19/2015,23075.61
10/20/2015,22989.22
10/22/2015,22845.37
10/23/2015,23151.94
10/26/2015,23116.25
10/27/2015,23142.73
10/28/2015,22956.57
10/29/2015,22819.94
10/30/2015,22640.04
11/2/2015,22370.04
11/3/2015,22568.43
11/4/2015,23053.57
11/5/2015,23051.04
11/6/2015,22867.33
11/9/2015,22726.77
11/10/2015,22401.70
11/11/2015,22352.17
11/12/2015,22888.92
11/13/2015,22396.14
11/16/2015,22010.82
11/17/2015,22264.25
11/18/2015,22188.26
11/19/2015,22500.22
11/20/2015,22754.72
11/23/2015,22665.90
11/24/2015,22587.63
11/25/2015,22498.00
11/26/2015,22488.94
11/27/2015,22068.32
11/30/2015,21996.42
12/1/2015,22381.35
12/2/2015,22479.69
12/3/2015,22417.01
12/4/2015,22235.89
12/7/2015,22203.22
12/8/2015,21905.13
12/9/2015,21803.76
12/10/2015,21704.61
12/11/2015,21464.05
12/14/2015,21309.85
12/15/2015,21274.37
12/16/2015,21701.21
12/17/2015,21872.06
12/18/2015,21755.56
12/21/2015,21791.68
12/22/2015,21830.02
12/23/2015,22040.59
12/24/2015,22138.13
12/28/2015,21919.62
12/29/2015,21999.62
12/30/2015,21882.15
12/31/2015,21914.40
1/4/2016,21327.12
1/5/2016,21188.72
1/6/2016,20980.81
1/7/2016,20333.34
1/8/2016,20453.71
1/11/2016,19888.50
1/12/2016,19711.76
1/13/2016,19934.88
1/14/2016,19817.41
1/15/2016,19520.77
1/18/2016,19237.45
1/19/2016,19635.81
1/20/2016,18886.30
1/21/2016,18542.15
1/22/2016,19080.51
1/25/2016,19340.14
1/26/2016,18860.80
1/27/2016,19052.45
1/28/2016,19195.83
1/29/2016,19683.11
2/1/2016,19595.50
2/2/2016,19446.84
2/3/2016,18991.59
2/4/2016,19183.09
2/5/2016,19288.17
2/11/2016,18545.80
2/12/2016,18319.58
2/15/2016,18918.14
2/16/2016,19122.08
2/17/2016,18924.57
2/18/2016,19363.08
2/19/2016,19285.50
2/22/2016,19464.09
2/23/2016,19414.78
2/24/2016,19192.45
2/25/2016,18888.75
2/26/2016,19364.15
2/29/2016,19111.93
3/1/2016,19407.46
3/2/2016,20003.49
3/3/2016,19941.76
3/4/2016,20176.70
3/7/2016,20159.72
3/8/2016,20011.58
3/9/2016,19996.26
3/10/2016,19984.42
3/11/2016,20199.60
3/14/2016,20435.34
3/15/2016,20288.77
3/16/2016,20257.70
3/17/2016,20503.81
3/18/2016,20671.63
3/21/2016,20684.15
3/22/2016,20666.75
3/23/2016,20615.23
3/24/2016,20345.61
3/29/2016,20366.30
3/30/2016,20803.39
3/31/2016,20776.70
4/1/2016,20498.92
4/5/2016,20177.00
4/6/2016,20206.67
4/7/2016,20266.05
4/8/2016,20370.40
4/11/2016,20440.81
